okres_nazev,4_nakazeni,3_nakazeni,2_nakazeni,1_nakazeni,4_ockovani,3_ockovani,2_ockovani,1_ockovani,0_14_vek,15_59_vek,60_vek
Hlavní město Praha,61607,4701,45019,79821,80024,526762,149658,47271,320204,695489,319391
Brno-město,23453,567,11179,19153,19084,146150,48199,11810,90554,190447,101404
Ostrava-město,19505,489,10456,21145,18236,117288,34601,8897,77492,155926,83904
Karviná,13862,256,8356,15988,12454,87745,27499,5482,57951,118265,66563
Olomouc,15815,265,10314,13468,12135,84198,29053,6676,59813,113860,61768
Brno-venkov,14456,264,8003,11836,12170,88925,23389,4817,61802,110684,53956
Frýdek-Místek,13056,215,7596,13344,10807,76395,22635,4393,54368,104558,55661
České Budějovice,12493,545,8843,9756,9316,78739,22293,4010,50256,96036,50310
Plzeň-město,9438,573,8413,13428,10030,73153,25978,5872,46227,96625,51988
Zlín,10971,225,7549,12265,9094,73806,25440,3599,46445,91811,52704
Praha-východ,10632,511,7540,13196,11826,78208,19189,3614,57389,94490,37060
Pardubice,8198,261,7992,16231,9457,69183,20483,3242,43866,86590,45681
Opava,10040,197,6313,14734,10866,66559,21135,4056,44474,84611,46692
Liberec,5410,348,7589,15411,11174,75385,25252,3515,46015,85059,44391
Kladno,6878,257,7280,12212,11336,67169,20010,3508,43176,82377,41292
Hradec Králové,6637,180,5110,18012,8655,63131,24042,5086,40646,77403,46386
Hodonín,6750,100,5740,8040,7257,59392,17767,2843,35982,74862,42763
Praha-západ,7934,499,5215,10092,9508,64020,16297,3762,46315,74952,31018
Nový Jičín,7901,137,5107,9567,7686,55561,13219,2438,38928,73255,39215
Vsetín,7681,181,5269,8154,6415,48181,15535,2469,35686,68645,38372
Uherské Hradiště,7398,126,4887,7013,6765,53950,18263,3039,34121,68464,39045
Ústí nad Orlicí,6310,99,6658,10600,6427,51279,16777,2013,35685,65705,36621
Mladá Boleslav,4597,140,7135,9701,8735,51478,12887,2319,33126,66290,31626
Přerov,7300,87,5154,8533,5530,46146,14894,2689,31120,62021,35760
Teplice,4361,109,6187,7203,6910,47160,14734,1653,32583,63502,32745
Děčín,2591,117,7306,9330,7041,49506,13712,1193,33665,60125,34659
Chomutov,3605,138,5103,5461,7101,45658,17250,1628,31929,62061,30610
Šumperk,8511,163,4092,6018,5024,41916,13865,1964,29799,56522,33646
Litoměřice,3872,120,5845,7003,6641,47847,14974,1529,30498,57282,31397
Ústí nad Labem,4575,122,5685,7556,6054,47765,15743,2813,31220,57028,30403
Žďár nad Sázavou,5085,121,5239,6552,6678,49790,14592,2357,30527,56358,31056
Trutnov,2759,39,2237,14502,6439,45014,13317,2245,29009,55409,32996
Břeclav,5183,131,4242,6304,5506,44097,12720,2391,28258,57293,30931
Příbram,4003,172,4780,7271,6120,47165,16532,3184,28719,55193,31324
Znojmo,5897,83,4450,6386,5091,44393,11100,2506,29055,55227,30270
Karlovy Vary,2475,93,3207,8741,5675,44058,14855,2273,26745,55348,32281
Jihlava,5195,152,5323,5781,6242,48554,12828,2047,29051,54915,29698
Most,3621,61,5753,6138,6129,41388,12065,1488,28269,54331,28333
Třebíč,3777,117,4153,5345,5892,45975,12620,1693,27059,52867,30411
Mělník,5002,217,5115,8244,7033,44125,12284,2238,28907,54635,26445
Náchod,1852,49,3074,11886,4850,44985,14322,2067,27673,50706,31108
Blansko,6136,112,4768,5593,5713,40256,12593,2905,27789,52117,29198
Prostějov,8272,51,3641,6251,4750,40139,11937,2504,27132,51898,29474
Kroměříž,6361,87,3023,6888,4847,38159,12067,2401,25482,50056,29288
Chrudim,4142,92,5163,8756,5479,41381,13098,1728,26565,49653,28490
Svitavy,4907,117,4590,6573,6093,38182,12636,2200,26703,49401,27896
Kolín,4663,134,5511,8434,6029,43105,12803,1831,26969,50713,26091
Česká Lípa,2615,112,6231,6887,5939,39919,10128,1674,26774,49993,26231
Tábor,4206,96,5170,5288,5192,41519,14743,2268,25287,48178,28986
Nymburk,4093,175,4199,8475,5721,39555,12981,1551,27385,49540,24773
