okres_nazev,4_nakazeni,3_nakazeni,2_nakazeni,1_nakazeni,4_ockovani,3_ockovani,2_ockovani,1_ockovani,0_14_vek,15_59_vek,60_vek
Hlavní město Praha,0.49086544419435973,0.45286486310586294,0.5245507341916955,0.41251403293978034,střední,střední,střední,střední,320204,695489,319391
Brno-město,0.7485116439341322,0.6992416259161226,0.24594139127559408,0.12953614226342763,střední,střední,střední,vysoká,90554,190447,101404
Ostrava-město,0.7509664875041206,0.7346729206565711,0.33549241310601374,0.471991513300326,střední,střední,střední,vysoká,77492,155926,83904
Karviná,0.6775305576912168,0.43896891567616614,0.37118942188074894,0.4556209471012563,střední,nízká,střední,střední,57951,118265,66563
Olomouc,0.847128747815066,0.4821733195696423,0.597186575367336,0.2762553983888378,střední,nízká,střední,vysoká,59813,113860,61768
Brno-venkov,0.7910451158001244,0.5066737406012237,0.39340095023784816,0.17450987721460817,střední,střední,nízká,střední,61802,110684,53956
Frýdek-Místek,0.7406135668971182,0.4070430068654608,0.3944227007555191,0.3798786484843569,střední,nízká,střední,střední,54368,104558,55661
České Budějovice,0.7859220389579357,0.45286486310586294,0.626033915939239,0.11953760454984845,nízká,střední,střední,střední,50256,96036,50310
Plzeň-město,0.531334521586674,0.45286486310586294,0.5823622297871052,0.5190241497940973,střední,střední,vysoká,vysoká,46227,96625,51988
Zlín,0.6833182407339258,0.5142071279978538,0.49425406680070033,0.42208167243394673,nízká,střední,vysoká,střední,46445,91811,52704
Praha-východ,0.6632574647141725,0.45286486310586294,0.5030505100048073,0.5384848908803208,vysoká,vysoká,nízká,střední,57389,94490,37060
Pardubice,0.4993708511221893,0.6986824452234998,0.6360062746009424,1.0,střední,střední,střední,střední,43866,86590,45681
Opava,0.6776964609635954,0.4792506021084644,0.4071346420111236,0.8275546542929626,vysoká,střední,střední,střední,44474,84611,46692
Liberec,0.23476020719212637,1.0,0.584382298376408,0.9108340901241503,vysoká,vysoká,vysoká,střední,46015,85059,44391
Kladno,0.4098147879558652,0.7379085131125591,0.5933423589596538,0.6076241515762487,vysoká,vysoká,střední,střední,43176,82377,41292
Hradec Králové,0.3957070427451366,0.46340032775305423,0.2905619401948829,0.41251403293978034,střední,střední,vysoká,vysoká,40646,77403,46386
Hodonín,0.4555486471788802,0.193779868686929,0.4418988265410041,0.1764020616538399,nízká,střední,střední,střední,35982,74862,42763
Praha-západ,0.5933535203105159,0.45286486310586294,0.36623945340688396,0.46450833024100885,vysoká,vysoká,střední,vysoká,46315,74952,31018
Nový Jičín,0.594603708257691,0.34807719744749127,0.35418653959492985,0.40051334797964705,střední,střední,nízká,střední,38928,73255,39215
Vsetín,0.6221024368067476,0.5689712664356952,0.43131471635388285,0.27514509536747167,nízká,nízká,střední,střední,35686,68645,38372
Uherské Hradiště,0.5950590988045598,0.3388045391032054,0.37299657333345876,0.117685196359079,nízká,střední,vysoká,střední,34121,68464,39045
Ústí nad Orlicí,0.4857551398635931,0.23408638330793538,0.7045651010532177,0.6819399010065706,nízká,střední,střední,nízká,35685,65705,36621
Mladá Boleslav,0.3065524680943503,0.44741820069817584,0.8546475858777904,0.6240104804614239,vysoká,střední,nízká,střední,33126,66290,31626
Přerov,0.6695531838341713,0.20831975929693836,0.5053533156504273,0.4628991184171775,nízká,nízká,střední,střední,31120,62021,35760
Teplice,0.28544305321917196,0.3123279219550381,0.6993184674534173,0.24986299835033154,střední,střední,střední,nízká,32583,63502,32745
Děčín,0.054881788516462506,0.35170398655727186,0.9127264571299986,0.5964396853236802,střední,střední,střední,nízká,33665,60125,34659
Chomutov,0.20254803122360407,0.47123205885510505,0.5295557281995313,0.0,střední,střední,vysoká,nízká,31929,62061,30610
Šumperk,0.9106445817052217,0.6238734010451903,0.3632418897707412,0.1309369250611338,nízká,nízká,střední,střední,29799,56522,33646
Litoměřice,0.2624984607388971,0.4049707318751288,0.723134466700019,0.3090216600533127,střední,střední,střední,nízká,30498,57282,31397
Ústí nad Labem,0.3647888781664897,0.4230271445059792,0.6962525641263263,0.41068419377270804,střední,vysoká,vysoká,střední,31220,57028,30403
Žďár nad Sázavou,0.44158402287437754,0.42163606777555246,0.6123927518539337,0.24246123030823036,střední,vysoká,střední,střední,30527,56358,31056
Trutnov,0.1108072706704864,0.0,0.0,0.4125140329397805,střední,střední,střední,střední,29009,55409,32996
Břeclav,0.46486649853043216,0.48683766650883364,0.41933450612878703,0.21315792542800927,nízká,střední,střední,střední,28258,57293,30931
Příbram,0.30053260780442065,0.7105126034346974,0.5412536312945131,0.3987382867353126,střední,vysoká,vysoká,vysoká,28719,55193,31324
Znojmo,0.582703950139721,0.23847890224248608,0.47794331587504774,0.24648415815646726,nízká,střední,nízká,střední,29055,55227,30270
Karlovy Vary,0.07947880445429761,0.2869866780760686,0.21701569859733177,0.6741796891975743,nízká,střední,vysoká,střední,26745,55348,32281
Jihlava,0.4850910977520718,0.6161950237755542,0.670551099193028,0.14498846838933582,střední,vysoká,střední,střední,29051,54915,29698
Most,0.26505756417944315,0.1323189403987573,0.7916610868660879,0.2382299508236326,střední,střední,střední,nízká,28269,54331,28333
Třebíč,0.29185927775347387,0.44257328376847843,0.44837829587735967,0.09550526110976498,střední,vysoká,střední,nízká,27059,52867,30411
Mělník,0.4817235242242729,0.997178920077637,0.6624861648524476,0.6433688521205085,vysoká,střední,střední,střední,28907,54635,26445
Náchod,0.0,0.07012313188420169,0.21790353720388703,0.4125140329397807,nízká,vysoká,vysoká,střední,27673,50706,31108
Blansko,0.6628037446504417,0.4220048339881034,0.5948408551040003,0.15387302479119874,střední,střední,střední,vysoká,27789,52117,29198
Prostějov,1.0,0.08939044238658558,0.3501021123378334,0.28503922472443444,nízká,střední,střední,střední,27132,51898,29474
Kroměříž,0.7376652571190013,0.30252542976180286,0.23628290984261516,0.4526154245411093,nízká,nízká,střední,střední,25482,50056,29288
Chrudim,0.3816294698455727,0.3321144862797013,0.7305677400596857,0.8235147872392469,střední,střední,střední,střední,26565,49653,28490
Svitavy,0.5103093876364948,0.4818406574260647,0.6057550972929893,0.4007381542598223,střední,střední,střední,střední,26703,49401,27896
Kolín,0.47274404164234446,0.5828954295283025,0.8217235605008171,0.7748982170877624,střední,vysoká,střední,střední,26969,50713,26091
Česká Lípa,0.14281948287641755,0.45898953863672887,1.0,0.4765468981564242,střední,střední,nízká,střední,26774,49993,26231
Tábor,0.4068464811716893,0.3676060528314959,0.7581958043905338,0.16076339900512177,střední,vysoká,vysoká,střední,25287,48178,28986
Nymburk,0.3935735498649009,0.8498957457320804,0.5364044336326247,0.8175598287041848,střední,střední,střední,nízká,27385,49540,24773
