,kraj_nazev,vekova_skupina,count
0,Hlavní město Praha,1,163
1,Hlavní město Praha,2,738
2,Hlavní město Praha,3,318
3,Jihomoravský kraj,1,82
4,Jihomoravský kraj,2,396
5,Jihomoravský kraj,3,254
6,Jihočeský kraj,1,43
7,Jihočeský kraj,2,195
8,Jihočeský kraj,3,149
9,Karlovarský kraj,1,19
10,Karlovarský kraj,2,88
11,Karlovarský kraj,3,63
12,Kraj Vysočina,1,31
13,Kraj Vysočina,2,148
14,Kraj Vysočina,3,115
15,Královéhradecký kraj,1,36
16,Královéhradecký kraj,2,167
17,Královéhradecký kraj,3,131
18,Liberecký kraj,1,29
19,Liberecký kraj,2,130
20,Liberecký kraj,3,95
21,Moravskoslezský kraj,1,68
22,Moravskoslezský kraj,2,347
23,Moravskoslezský kraj,3,255
24,Olomoucký kraj,1,33
25,Olomoucký kraj,2,169
26,Olomoucký kraj,3,137
27,Pardubický kraj,1,31
28,Pardubický kraj,2,150
29,Pardubický kraj,3,113
30,Plzeňský kraj,1,39
31,Plzeňský kraj,2,187
32,Plzeňský kraj,3,129
33,Středočeský kraj,1,69
34,Středočeský kraj,2,350
35,Středočeský kraj,3,257
36,Zlínský kraj,1,33
37,Zlínský kraj,2,162
38,Zlínský kraj,3,130
39,Ústecký kraj,1,52
40,Ústecký kraj,2,239
41,Ústecký kraj,3,168
