,kraj_nazev,pohlavi,count
0,Hlavní město Praha,M,602
1,Hlavní město Praha,Z,606
2,Jihomoravský kraj,M,359
3,Jihomoravský kraj,Z,373
4,Jihočeský kraj,M,187
5,Jihočeský kraj,Z,200
6,Karlovarský kraj,M,82
7,Karlovarský kraj,Z,87
8,Kraj Vysočina,M,143
9,Kraj Vysočina,Z,152
10,Královéhradecký kraj,M,161
11,Královéhradecký kraj,Z,172
12,Liberecký kraj,M,123
13,Liberecký kraj,Z,131
14,Moravskoslezský kraj,M,321
15,Moravskoslezský kraj,Z,348
16,Olomoucký kraj,M,163
17,Olomoucký kraj,Z,177
18,Pardubický kraj,M,143
19,Pardubický kraj,Z,151
20,Plzeňský kraj,M,175
21,Plzeňský kraj,Z,181
22,Středočeský kraj,M,325
23,Středočeský kraj,Z,351
24,Zlínský kraj,M,157
25,Zlínský kraj,Z,169
26,Ústecký kraj,M,221
27,Ústecký kraj,Z,239
